"","ï..State","County.Name","Median.Home.Price.Q4.2021","Monthly.Payment.Q4.2021","Monthly.Payment.Q4.2020","Efficiency","One.Bedroom","Two.Bedroom","Three.Bedroom","Four.Bedroom","Population","RatioTwoBed","RatioEff","RatioOneBed","RatioThreeBed","RatioFourBed","Optimal","BestRes","Average","RatioAverage","Residuals","paretoRatio","Average3and4","RatioAverage3and4","ScaledRatio","ScaledPop","EuclidDistance","thresholdVec","similarityVec","Color"
"446","Georgia","Gwinnett County",323747,1241,983,1111,1131,1289,1596,1951,936250,0.00398150407571344,0.00343169203112307,0.00349346866534671,0.00492977541104628,0.00602631066851585,"NP","max",1415.6,0.00437255017034907,-37411.9916229148,"NP",1773.5,0.00547804303978106,0.102692176569014,0.0932357190849337,0.0497292702543654,"Not Optimal","Similiar","Orange"
"602","Illinois","Cook County",299571,1148,993,1059,1161,1340,1697,2018,5150233,0.00447306314696683,0.00353505512883423,0.00387554202509589,0.00566476728388262,0.006736299575059,"NP","max",1455,0.00485694543196771,-75806.5162534814,"P",1857.5,0.00620053342947081,0.124490273314987,0.513003849550272,0.390418465283062,"Not Optimal","Not Similiar","Red"
"2050","Ohio","Franklin County",255016,978,809,730,829,1032,1281,1426,1316756,0.00404680490635882,0.00286256548608715,0.00325077642187157,0.00502321422969539,0.00559180600432914,"NP","max",1059.6,0.00415503340966841,22328.9568157066,"NP",1353.5,0.00530751011701227,0.0975470657108829,0.131139121222732,0.0457116643912954,"Not Optimal","Similiar","Orange"
"1563","Missouri","St. Louis County",252240,967,829,689,745,947,1230,1449,994205,0.00375436092610213,0.00273152553124009,0.002953536314621,0.00487630827783064,0.00574452901998097,"NP","max",1012,0.00401205201395496,36730.6667754773,"NP",1339.5,0.0053104186489058,0.0976348183793043,0.0990087993278105,0.0509033493397891,"Not Optimal","Similiar","Orange"
"1268","Michigan","Macomb County",229790,881,741,733,848,1084,1371,1473,873972,0.00471735062448322,0.00318986901083598,0.00369032594978023,0.00596631707210932,0.00641020061795552,"NP","max",1101.8,0.00479481265503286,-18126.0213419053,"NP",1422,0.00618825884503242,0.124119939559794,0.0870320111845647,0.0404072536713174,"Not Optimal","Similiar","Orange"
"1039","Kentucky","Jefferson County",226483,868,731,690,800,960,1279,1468,766757,0.00423872873460701,0.00304658627799879,0.00353227394550584,0.00564722297037747,0.00648172269000322,"NP","max",1039.4,0.00458930692369847,1085.65726081932,"NP",1373.5,0.00606447283019035,0.120385219256476,0.0763519870582593,0.0516390162029299,"Not Optimal","Similiar","Orange"
"2277","Pennsylvania","Philadelphia County",219144,840,715,940,1071,1298,1605,1837,1584064,0.00592304603365823,0.00428941700434418,0.00488719745920491,0.00732395137443873,0.0083826159967875,"NP","max",1350.2,0.00616124557368671,-118413.684241213,"NP",1721,0.00785328368561311,0.174355033448049,0.157766513743876,0.0471324061047267,"Not Optimal","Similiar","Orange"
"2488","Tennessee","Shelby County",216098,828,675,694,792,912,1219,1404,937166,0.00422030745309998,0.00321150589084582,0.00366500384084998,0.00564095919443956,0.00649705226332497,"NP","max",1004.2,0.00464696572851206,3403.50160081786,"NP",1311.5,0.00606900572888227,0.120521980334044,0.0933269647324615,0.0369448655638872,"Not Optimal","Similiar","Orange"
"2056","Ohio","Hamilton County",213047,817,680,643,742,968,1302,1483,817473,0.00454359836092505,0.00301811337404423,0.00348279957004792,0.00611132754744258,0.00696090534013621,"NP","max",1027.6,0.0048233488385192,-8092.00287520384,"NP",1392.5,0.0065361164437894,0.134615073750828,0.0814039676914702,0.0423444053758359,"Not Optimal","Similiar","Orange"
"2228","Pennsylvania","Allegheny County",204177,783,668,763,807,981,1252,1371,1216045,0.00480465478481905,0.00373695372152593,0.00395245301870436,0.00613193454698619,0.00671476219162785,"NP","max",1034.8,0.00506815165273268,-19560.311944749,"NP",1311.5,0.00642334836930702,0.131212773273891,0.121106981039135,0.011473571341715,"Not Optimal","Similiar","Orange"
"736","Indiana","Marion County",196631,754,617,677,782,939,1231,1456,964582,0.00477544232598115,0.00344299728933891,0.00397699243761157,0.00626045740498701,0.00740473272271412,"NP","max",1017,0.00517212443612655,-20682.714522818,"P",1343.5,0.00683259506385056,0.143560064210813,0.0960579589165476,0.0269640928378673,"Not Optimal","Similiar","Orange"
"410","Georgia","Clayton County",185811,712,564,1111,1131,1289,1596,1951,292256,0.00693715657307694,0.00597919391209347,0.00608683016613656,0.00858937307263833,0.0104999165819031,"NP","max",1415.6,0.00761849406116968,-175347.991622915,"P",1773.5,0.00954464482727072,0.225384714014546,0.0290854466678653,0.125241749548866,"Not Optimal","Not Similiar","Red"
"2044","Ohio","Cuyahoga County",175997,675,568,632,732,893,1169,1224,1235072,0.00507395012414984,0.00359097030063012,0.00415916180389438,0.0066421586731592,0.00695466399995454,"NP","max",930,0.00528418098035762,-9920.47993248069,"NP",1196.5,0.00679841133655687,0.14252871458275,0.123002320488383,0,"Not Optimal","Similiar","Orange"
"1299","Michigan","Wayne County",163892,628,529,733,848,1084,1371,1473,1749343,0.00661411173211627,0.00447245747199375,0.00517413906719059,0.00836526493056403,0.00898762599760818,"NP","max",1101.8,0.00672271983989456,-84024.0213419053,"P",1422,0.00867644546408611,0.199190464259034,0.174230475946661,0.07638637174284,"Not Optimal","Not Similiar","Red"
"500","Georgia","Richmond County",155931,598,483,685,789,906,1228,1532,202518,0.00581026223137157,0.00439296868486702,0.00505993035381034,0.0078752781679076,0.00982485843097267,"NP","max",1028,0.00659265957378584,-65352.3533790675,"P",1380,0.00885006829944014,0.204428800182066,0.0201463616047081,0.120045694946062,"Not Optimal","Not Similiar","Red"
"2082","Ohio","Montgomery County",155781,597,499,606,680,872,1164,1248,531687,0.00559760176144716,0.00389007645348277,0.00436510229103678,0.00747202803936295,0.0080112465576675,"NP","max",914,0.00586721102059943,-24362.4597779359,"P",1206,0.00774163729851522,0.17098657515154,0.0529359233417025,0.0756250609075398,"Not Optimal","Not Similiar","Red"
"505","Georgia","Spalding County",153204,587,465,1111,1131,1289,1596,1951,66703,0.00841361844338268,0.00725176888331897,0.00738231377770815,0.0104174825722566,0.0127346544476646,"NP","max",1415.6,0.00923996762486619,-207954.991622915,"P",1773.5,0.0115760685099606,0.286674345820375,0.00661740132196614,0.185265788569468,"Optimal","Not Similiar","Red and Green"
"636","Illinois","LaSalle County",143942,552,478,1059,1161,1340,1697,2018,108669,0.00930930513679121,0.00735712995512081,0.00806574870433925,0.0117894707590557,0.014019535646302,"P","max",1455,0.0101082380403218,-231435.516253481,"P",1857.5,0.0129045032026789,0.326754253270791,0.0107977668723512,0.215705611788548,"Optimal","Not Similiar","Red and Green"
"476","Georgia","McDuffie County",137144,526,425,685,789,906,1228,1532,21312,0.00660619494837543,0.00499475004374964,0.00575307705769119,0.00895409204923292,0.0111707402438313,"NP","max",1028,0.0074957708685761,-84139.3533790675,"NP",1380,0.0100624161465321,0.241006277250005,0.00209586072487495,0.155936533119818,"Optimal","Not Similiar","Green"
"759","Indiana","Scott County",128331,492,405,677,782,939,1231,1456,23873,0.00731701615354045,0.00527542059206271,0.00609361728654807,0.00959238219915687,0.0113456608301969,"NP","max",1017,0.007924819412301,-88982.7145228179,"NP",1343.5,0.0104690215146769,0.253273877316018,0.00235097000797403,0.16377191285921,"Optimal","Not Similiar","Green"
"2252","Pennsylvania","Fayette County",121354,465,397,763,807,981,1252,1371,129274,0.00808378792623234,0.00628739060929182,0.00664996621454587,0.0103169240404107,0.0112975262455296,"NP","max",1034.8,0.00852711900720207,-102383.311944749,"NP",1311.5,0.0108072251429702,0.263477743712831,0.0128502958759657,0.16359136949645,"Optimal","Not Similiar","Green"
"4","Alabama","Bibb County",113246,434,365,765,820,943,1220,1316,22394,0.00832700492732635,0.00675520548187132,0.007240873849849,0.0107730074351412,0.0116207194956113,"NP","max",1012.8,0.00894336223795984,-102552.03423225,"NP",1268,0.0111968634653763,0.27523343481814,0.00220364215568838,0.179451562990349,"Optimal","Not Similiar","Green"
"1402","Mississippi","Copiah County",111827,429,360,781,812,947,1171,1337,28065,0.00846843785490087,0.00698400207463314,0.00726121598540603,0.0104715319198405,0.0119559677001082,"NP","max",1009.6,0.00902823110697774,-102816.230201341,"NP",1254,0.0112137498099743,0.275742908962693,0.00276854834251186,0.179449662994174,"Optimal","Not Similiar","Green"
"396","Georgia","Burke County",111093,426,344,685,789,906,1228,1532,22383,0.00815532931867895,0.00616600505882459,0.00710215765169723,0.0110538017696885,0.0137902478103931,"NP","max",1028,0.00925350832185646,-110190.353379067,"NP",1380,0.0124220247900408,0.312197504466084,0.00220254641101283,0.208278860371423,"Optimal","Not Similiar","Green"
"673","Illinois","Shelby County",110857,425,368,689,745,947,1230,1449,21634,0.00854253678161956,0.00621521419486365,0.00672036948501222,0.0110953751229061,0.0130708931325942,"NP","max",1012,0.00912887774339915,-104652.333224523,"NP",1339.5,0.0120831341277502,0.301972909719447,0.00212793615992294,0.200082653295016,"Optimal","Not Similiar","Green"
"739","Indiana","Miami County",110515,424,349,515,611,738,997,1227,35516,0.00667782653938379,0.00466000090485454,0.00552866126770122,0.00902139980998055,0.011102565262634,"NP","max",817.6,0.00739809075691083,-34839.9883468036,"NP",1112,0.0100619825363073,0.240993194892419,0.00351076594047018,0.154833734989924,"Optimal","Not Similiar","Green"
"2287","Pennsylvania","Venango County",106199,407,348,534,601,757,936,1218,50668,0.00712812738349702,0.00502829593498997,0.00565918699799433,0.00881364231301613,0.0114690345483479,"NP","max",809.2,0.00761965743556907,-36124.6277656676,"NP",1077,0.010141338430682,0.243387423919723,0.00502010442446758,0.155216888760445,"Optimal","Not Similiar","Green"
"648","Illinois","McDonough County",105458,404,350,515,616,735,1016,1178,29682,0.00696959927174799,0.00488346071421798,0.00584118796108403,0.00963416715659315,0.0111703237307743,"NP","max",812,0.0076997477668835,-37876.0812927129,"NP",1097,0.0104022454436837,0.251259191340126,0.00292962280981807,0.161986941769065,"Optimal","Not Similiar","Green"
"1449","Mississippi","Simpson County",103252,396,333,558,636,735,952,1258,26658,0.00711850617905706,0.00540425367063108,0.00615968697942897,0.00922016038430248,0.0121837833649711,"NP","max",827.8,0.00801727811567815,-45783.9261953259,"NP",1105,0.0107019718746368,0.260302170779681,0.00262839263719346,0.168405669414346,"Optimal","Not Similiar","Green"
"764","Indiana","Sullivan County",102593,393,336,555,586,771,953,1230,20669,0.00751513261138674,0.0054097258097531,0.00571189067480237,0.00928913278683731,0.0119891220648582,"NP","max",819,0.00798300078952755,-43267.2151103263,"NP",1091.5,0.0106391274258478,0.258406104902266,0.00203180946793129,0.167515474281664,"Optimal","Not Similiar","Green"
"615","Illinois","Fulton County",101782,390,338,566,570,750,927,1217,34340,0.00736868994517695,0.00556090467862687,0.00560020435833448,0.00910770077223871,0.0119569275510405,"NP","max",806,0.00791888546108349,-39386.8237347586,"NP",1072,0.0105323141616396,0.255183465680777,0.00339362087333839,0.164308654575955,"Optimal","Not Similiar","Green"
"659","Illinois","Perry County",99369,381,330,503,573,735,1044,1104,20916,0.0073966730066721,0.00506194084674295,0.00576638589499743,0.0105062947196812,0.0111101047610422,"NP","max",791.8,0.00796827984582717,-36675.3808476001,"NP",1074,0.0108081997403617,0.26350714807382,0.00205641391655506,0.17106634293874,"Optimal","Not Similiar","Green"
"134","Arkansas","Hempstead County",96894,371,315,516,530,697,867,1131,21532,0.00719342786963073,0.00532540714595331,0.00546989493673499,0.00894792247197969,0.0116725493838628,"NP","max",748.2,0.0077218403616323,-23416.1759264656,"NP",999,0.0103102359279212,0.24848319271819,0.002117775618386,0.160746460693167,"Optimal","Not Similiar","Green"
"654","Illinois","Montgomery County",96612,370,321,540,568,735,929,1042,28414,0.00760775058998882,0.00558936778039995,0.00587918685049476,0.00961578271850288,0.0107854096799569,"NP","max",762.8,0.00789549952386867,-28966.9693174877,"NP",985.5,0.0102005961992299,0.245175276865853,0.00280331333267257,0.158063651956285,"Optimal","Not Similiar","Green"
"2268","Pennsylvania","McKean County",95508,366,313,572,576,757,948,1072,40625,0.00792603760941492,0.00598902709720652,0.00603090840557859,0.00992587008418143,0.0112241906437157,"NP","max",785,0.00821920676801943,-38082.4222819186,"NP",1010,0.0105750303639486,0.256472246713493,0.00401968953568816,0.164742207654429,"Optimal","Not Similiar","Green"
"634","Illinois","Knox County",95349,366,316,508,559,735,976,997,49699,0.0077085234244722,0.00532779578181208,0.0058626729173877,0.0102360800847413,0.0104563236111548,"NP","max",755,0.00791827916391362,-27415.1344921471,"NP",986.5,0.0103462018479481,0.24956831248655,0.00492357927986664,0.159373977313723,"Optimal","Not Similiar","Green"
"678","Illinois","Vermilion County",94369,362,305,597,610,802,1038,1088,75758,0.0084985535504244,0.00632623001197427,0.00646398711441257,0.0109993747946889,0.011529209804067,"NP","max",827,0.00876347105511344,-54378.2251875987,"NP",1063,0.011264292299378,0.277267815161481,0.00751939841625049,0.177456841274389,"Optimal","Not Similiar","Green"
"432","Georgia","Emanuel County",93705,359,288,468,535,704,950,1205,22646,0.0075129395443146,0.00499439731070914,0.00570940718211408,0.0101381996691745,0.0128595058961635,"NP","max",772.4,0.00824288992049517,-35338.3814102146,"NP",1077.5,0.011498852782669,0.284344687297809,0.00222874467007377,0.186274063500691,"Optimal","Not Similiar","Green"
"140","Arkansas","Jefferson County",92611,355,310,563,578,760,950,1097,66824,0.0082063685739275,0.0060791914567384,0.0062411592575396,0.0102579607174094,0.0118452451652611,"NP","max",789.6,0.00852598503417521,-42639.4530763502,"NP",1023.5,0.0110516029413353,0.270850811877265,0.00662945451339722,0.173231650079583,"Optimal","Not Similiar","Green"
"406","Georgia","Chattooga County",92552,355,285,472,535,704,989,1199,24789,0.00760653470481459,0.00509983576800069,0.00578053418618722,0.0106858846918489,0.0129548794191374,"NP","max",779.8,0.00842553375399775,-39161.8657316915,"NP",1094,0.0118203820554931,0.294045475426897,0.00244221565550186,0.193628685101196,"Optimal","Not Similiar","Green"
"1414","Mississippi","Issaquena County",92183,353,304,564,568,747,923,1027,1327,0.00810344640551946,0.00611826475597453,0.00616165670459846,0.0100126921449725,0.0111408828091948,"NP","max",765.8,0.00830738856405194,-34478.5980964648,"P",975,0.0105767874770836,0.256525260182818,0.000105091875700716,0.167627388005142,"Not Optimal","Not Similiar","Red"
"1452","Mississippi","Sunflower County",91252,350,301,480,561,722,893,1004,25110,0.00791215535001973,0.00526015868145356,0.00614781045894885,0.00978608688028756,0.0110024985753737,"NP","max",732,0.00802174198921667,-23211.980519989,"NP",948.5,0.0103942927278306,0.251019251720121,0.00247419147739753,0.162164196206327,"Optimal","Not Similiar","Green"
"644","Illinois","Marion County",89490,343,297,488,592,735,979,997,37205,0.00821320817968488,0.00545312325399486,0.00661526427533803,0.0109397698066823,0.0111409095988379,"NP","max",758.2,0.00847245502290759,-34428.9385230561,"NP",988,0.0110403397027601,0.27051099121302,0.00367901255474365,0.174978612829378,"Optimal","Not Similiar","Green"
"1461","Mississippi","Washington County",87993,337,290,538,580,705,927,1024,43909,0.00801200095462139,0.00611412271430682,0.00659143340947575,0.0105349289148,0.0116372893298331,"NP","max",754.8,0.00857795506460741,-34698.9592402153,"P",975.5,0.0110861091223165,0.271891890183769,0.00434681912791674,0.175539053218034,"Optimal","Not Similiar","Red and Green"
"614","Illinois","Franklin County",87422,335,290,488,559,735,916,997,38469,0.00840749468097275,0.00558211891743497,0.00639427146484866,0.010477911738464,0.011404451968612,"NP","max",739,0.00845324975406648,-29568.1143376024,"NP",956.5,0.010941181853538,0.267519321813247,0.00380492357927987,0.172715579279214,"Optimal","Not Similiar","Green"
"669","Illinois","Saline County",84780,325,281,560,681,843,1078,1157,23491,0.00994338287331918,0.00660533144609578,0.00803255484784147,0.0127152630337344,0.0136470865770229,"NP","max",863.8,0.0101887237556027,-77247.4715430517,"NP",1117.5,0.0131811748053786,0.335101650618322,0.00231291778378666,0.22726695232381,"Optimal","Not Similiar","Green"
"1447","Mississippi","Scott County",82988,318,274,532,536,705,880,970,28124,0.00849520412589772,0.00641056538294693,0.00645876512266834,0.0106039427387092,0.0116884368824408,"NP","max",724.6,0.00873138285053261,-28805.4961985121,"NP",925,0.011146189810575,0.273704571257334,0.00277442551849891,0.177937775930803,"Optimal","Not Similiar","Green"
"43","Alabama","Lowndes County",82184,315,271,643,764,914,1156,1494,9726,0.0111213861578896,0.0078239073298939,0.00929621337486615,0.0140659982478341,0.0181787209189137,"P","max",994.2,0.0120972452058795,-126901.735802592,"P",1325,0.0161223595833739,0.423839481949276,0.000941742742061205,0.306650505422883,"Not Optimal","Not Similiar","Red"
"1580","Missouri","Worth County",79906,306,250,489,521,685,973,1061,2013,0.00857257277300828,0.00611969063649789,0.00652016118939754,0.0121768077491052,0.0132781017695793,"NP","max",745.8,0.00933346682351763,-39538.0729032839,"P",1017,0.0127274547593422,0.321412564091737,0.000173426498194263,0.216993937274771,"Not Optimal","Not Similiar","Red"
"1401","Mississippi","Coahoma County",79496,305,262,510,619,705,925,956,22124,0.0088683707356345,0.00641541712790581,0.00778655529837979,0.0116358055751233,0.0120257623025058,"NP","max",743,0.00934638220790983,-38937.6193762386,"NP",940.5,0.0118307839388145,0.294359308333488,0.00217674660456119,0.194039553965311,"Optimal","Not Similiar","Green"
"167","Arkansas","St. Francis County",77180,296,251,706,728,833,1118,1330,24994,0.0107929515418502,0.00914744752526561,0.00943249546514641,0.0144856180357606,0.0172324436382482,"NP","max",943,0.0122181912412542,-113428.871308048,"P",1224,0.0158590308370044,0.415894648950428,0.00246263635172806,0.29876202825071,"Optimal","Not Similiar","Red and Green"
"1031","Kentucky","Harlan County",74276,285,235,469,548,674,957,999,26010,0.00907426355754214,0.00631428725294846,0.00737788787764554,0.0128843771877861,0.0134498357477516,"NP","max",729.4,0.00982013032473477,-39249.7022448755,"NP",978,0.0131671064677689,0.334677197935423,0.00256384331448819,0.226774042691617,"Optimal","Not Similiar","Green"
"990","Kentucky","Bell County",73660,282,233,482,592,674,957,967,26032,0.00915014933478143,0.00654357860439859,0.00803692641868042,0.012992125984252,0.0131278848764594,"NP","max",734.4,0.00997013304371436,-41670.0835431707,"NP",962,0.0130600054303557,0.331445876372614,0.00256603480383929,0.224041498227955,"Optimal","Not Similiar","Green"
"1050","Kentucky","Letcher County",72182,277,228,482,568,674,891,964,21553,0.0093375079659749,0.00667756504391677,0.00786899781108864,0.012343797622676,0.0133551300878335,"NP","max",715.8,0.00991659970629797,-36435.7851135124,"NP",927.5,0.0128494638552548,0.325093673369513,0.00211986749458478,0.218957830685752,"Optimal","Not Similiar","Green"
"429","Georgia","Echols County",70145,269,229,639,643,833,1159,1376,4006,0.0118754009551643,0.00910970133295317,0.00916672606743175,0.0165229168151686,0.0196165086606315,"P","max",930,0.0132582507662699,-115772.479932481,"P",1267.5,0.0180697127379001,0.482592640561068,0.00037195551077391,0.361499211847452,"Not Optimal","Not Similiar","Red"
"588","Illinois","Alexander County",64332,247,213,536,622,807,1146,1248,5761,0.0125443014362992,0.00833177889697196,0.00966859416775477,0.0178138407013617,0.0193993657899646,"NP","max",871.8,0.0135515761984704,-100582.481620324,"P",1197,0.0186066032456631,0.498791044577541,0.000546776593100693,0.3767203312857,"Not Optimal","Not Similiar","Red"
